2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Battery, hid: ACPI\VEN_ACPI&DEV_0003, cid: , problem: 0x00000000, deviceDesc:"Адаптер переменного тока (Майкрософт)", inf: C:\Windows\inf\cmbatt.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: SCSIAdapter, hid: Root\Spaceport, cid: DETECTEDInternal\spaceport, problem: 0x00000000, deviceDesc:"Контроллер дискового пространства (Майкрософт)", inf: C:\Windows\inf\spaceport.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.864
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Processor, hid: ACPI\AuthenticAMD_-_AMD64_Family_16_Model_6, cid: ACPI\Processor, problem: 0x00000000, deviceDesc:"Процессор AMD", inf: C:\Windows\inf\cpu.inf, driverDate: 4-21-2009, driverVersion: 10.0.17763.503
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Processor, hid: ACPI\AuthenticAMD_-_AMD64_Family_16_Model_6, cid: ACPI\Processor, problem: 0x00000000, deviceDesc:"Процессор AMD", inf: C:\Windows\inf\cpu.inf, driverDate: 4-21-2009, driverVersion: 10.0.17763.503
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_1202&SUBSYS_00000000&REV_00, cid: PCI\VEN_1022&CC_060000, problem: 0x00000000, deviceDesc:"Стандартный главный мост PCI — ЦП", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: lan, class: Net, hid: root\kdnic, cid: , problem: 0x00000000, deviceDesc:"Сетевой адаптер с отладкой ядра (Майкрософт)", inf: C:\Windows\inf\kdnic.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: VolumeSnapshot, hid: STORAGE\VolumeSnapshot, cid: , problem: 0x00000000, deviceDesc:"Универсальная теневая копия тома", inf: C:\Windows\inf\volsnap.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: VolumeSnapshot, hid: STORAGE\VolumeSnapshot, cid: , problem: 0x00000000, deviceDesc:"Универсальная теневая копия тома", inf: C:\Windows\inf\volsnap.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: VolumeSnapshot, hid: STORAGE\VolumeSnapshot, cid: , problem: 0x00000000, deviceDesc:"Универсальная теневая копия тома", inf: C:\Windows\inf\volsnap.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\{084f01fa-e634-4d77-83ee-074817c03581}, cid: GenPrintQueue, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C02, cid: , problem: 0x00000000, deviceDesc:"Ресурсы системной платы", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: diskcontroller, class: HDC, hid: PCI\VEN_1002&DEV_4391&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1002&DEV_4391&REV_00, problem: 0x00000000, deviceDesc:"Стандартный контроллер SATA AHCI", inf: C:\Windows\inf\mshdc.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.168
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C0D, cid: , problem: 0x00000000, deviceDesc:"Крышка ACPI", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0200, cid: , problem: 0x00000000, deviceDesc:"Контроллер прямого доступа к памяти", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0B00, cid: , problem: 0x00000000, deviceDesc:"CMOS системы и часы реального времени", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: video, class: Display, hid: PCI\VEN_1002&DEV_9555&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1002&DEV_9555&REV_00, problem: 0x00000000, deviceDesc:"ATI Mobility Radeon HD 4500 Series", inf: C:\Windows\inf\oem4.inf, driverDate: 1-13-2015, driverVersion: 8.970.100.9001
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: root\umbus, cid: , problem: 0x00000000, deviceDesc:"UMBus перечислитель корневой шины", inf: C:\Windows\inf\umbus.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\CAD, cid: , problem: 0x00000000, deviceDesc:"Драйвер вынесения решения по оплате", inf: C:\Windows\inf\ChargeArbitration.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_9607&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1022&DEV_9607&REV_00, problem: 0x00000000, deviceDesc:"Мост PCI–PCI", inf: C:\Windows\inf\pci.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.802
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\microsoftmicrosoft_s7d14, cid: GenPrintQueue, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: cable lan, class: Net, hid: PCI\VEN_10EC&DEV_8136&SUBSYS_143C103C&REV_02, cid: PCI\VEN_10EC&DEV_8136&REV_02, problem: 0x00000000, deviceDesc:"Контроллер семейства Realtek PCIe FE", inf: C:\Windows\inf\rt640x64.inf, driverDate: 4-7-2015, driverVersion: 9.1.407.2015
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: usb, class: USB, hid: PCI\VEN_1002&DEV_4396&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1002&DEV_4396&REV_00, problem: 0x00000000, deviceDesc:"Стандартный расширенный PCI - USB хост-контроллер", inf: C:\Windows\inf\usbport.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: usb, class: USB, hid: PCI\VEN_1002&DEV_4396&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1002&DEV_4396&REV_00, problem: 0x00000000, deviceDesc:"Стандартный расширенный PCI - USB хост-контроллер", inf: C:\Windows\inf\usbport.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0A08, cid: *PNP0A03, problem: 0x00000000, deviceDesc:"PCI Express Root Complex", inf: C:\Windows\inf\pci.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.802
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C01, cid: , problem: 0x00000000, deviceDesc:"Системная плата", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C0C, cid: , problem: 0x00000000, deviceDesc:"Кнопка питания ACPI", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI_HAL\PNP0C08, cid: , problem: 0x00000000, deviceDesc:"Microsoft ACPI-совместимая система", inf: C:\Windows\inf\acpi.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.719
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_1204&SUBSYS_00000000&REV_00, cid: PCI\VEN_1022&CC_060000, problem: 0x00000000, deviceDesc:"Стандартный главный мост PCI — ЦП", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: touchpad, class: Mouse, hid: ACPI\VEN_SYN&DEV_1E25, cid: *SYN1E00, problem: 0x00000000, deviceDesc:"Synaptics PS/2 Port TouchPad", inf: C:\Windows\inf\oem3.inf, driverDate: 8-24-2015, driverVersion: 19.0.12.98
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\BasicRender, cid: , problem: 0x00000000, deviceDesc:"Базовый драйвер отрисовки (Майкрософт)", inf: C:\Windows\inf\basicrender.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0C32, cid: , problem: 0x00000000, deviceDesc:"Кнопка прямого запуска приложений", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: wireless lan, class: Net, hid: PCI\VEN_1814&DEV_3090&SUBSYS_1453103C&REV_00, cid: PCI\VEN_1814&DEV_3090&REV_00, problem: 0x00000000, deviceDesc:"WiFi-адаптер Ralink RT3090 802.11b/g/n", inf: C:\Windows\inf\netr28x.inf, driverDate: 5-18-2015, driverVersion: 5.0.57.0
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1002&DEV_AA38&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1002&DEV_AA38&REV_00, problem: 0x00000000, deviceDesc:"Контроллер High Definition Audio (Microsoft)", inf: C:\Windows\inf\hdaudbus.inf, driverDate: 9-14-2018, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: DiskDrive, hid: SCSI\Disk________KINGSTON_SA400S3SBFK, cid: SCSI\Disk, problem: 0x00000000, deviceDesc:"Дисковый накопитель", inf: C:\Windows\inf\disk.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\FixedButton, cid: , problem: 0x00000000, deviceDesc:"Фиксированная функциональная кнопка ACPI", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
